Player Name,Location X,Location Y,Model Prediction,Actual Outcome
Cj Mccollum,684.0,393.0,0.0,0.0
Cory Joseph,873.0,285.0,1.0,0.0
Anthony Morrow,905.0,25.0,0.0,0.0
Jimmy Butler,62.0,265.0,1.0,1.0
Greg Monroe,182.0,413.0,0.0,0.0
Derrick Williams,882.0,259.0,1.0,0.0
Ben Mclemore,246.0,97.0,0.0,1.0
Tyler Johnson,889.0,12.0,0.0,0.0
Isaiah Thomas,846.0,199.0,0.0,1.0
Mike Conley,69.0,259.0,1.0,1.0
Vince Carter,259.0,382.0,0.0,1.0
Harrison Barnes,863.0,220.0,1.0,1.0
Tony Allen,53.0,270.0,1.0,1.0
Thabo Sefolosha,895.0,184.0,1.0,0.0
Danilo Gallinari,46.0,249.0,1.0,1.0
Josh Richardson,52.0,250.0,1.0,0.0
Guillermo Hernangomez,53.0,190.0,1.0,0.0
Jonathon Simmons,288.0,118.0,1.0,0.0
Maurice Harkless,58.0,267.0,1.0,1.0
Klay Thompson,229.0,290.0,0.0,0.0
Guillermo Hernangomez,878.0,233.0,1.0,1.0
Jahlil Okafor,84.0,282.0,0.0,1.0
John Wall,885.0,263.0,0.0,0.0
Brook Lopez,724.0,423.0,1.0,0.0
Okaro White,640.0,208.0,0.0,0.0
Ian Clark,151.0,254.0,0.0,0.0
Tj Mcconnell,50.0,254.0,1.0,1.0
Zach Lavine,686.0,94.0,0.0,1.0
Nikola Mirotic,293.0,308.0,0.0,0.0
Lou Williams,136.0,176.0,0.0,1.0
Cory Joseph,254.0,391.0,0.0,0.0
Terrence Jones,58.0,223.0,1.0,0.0
Paul George,244.0,262.0,0.0,0.0
Rudy Gobert,52.0,250.0,1.0,1.0
Marreese Speights,647.0,213.0,0.0,0.0
Anthony Davis,652.0,204.0,0.0,1.0
Timofey Mozgov,778.0,419.0,0.0,0.0
Serge Ibaka,166.0,244.0,0.0,1.0
Cj Miles,305.0,189.0,1.0,0.0
James Harden,706.0,71.0,0.0,1.0
Derrick Favors,878.0,256.0,0.0,1.0
Anthony Davis,205.0,103.0,1.0,0.0
Kyle Lowry,264.0,99.0,1.0,0.0
Anthony Brown,246.0,208.0,0.0,1.0
Boris Diaw,861.0,248.0,1.0,0.0
Kelly Oubre Jr.,79.0,5.0,1.0,0.0
Dennis Schroder,890.0,250.0,1.0,1.0
Jarell Martin,637.0,270.0,0.0,0.0
Serge Ibaka,231.0,264.0,1.0,0.0
Gordon Hayward,794.0,320.0,0.0,0.0
Rudy Gobert,67.0,248.0,1.0,1.0
Tim Hardaway Jr.,676.0,369.0,0.0,0.0
Tyler Johnson,67.0,161.0,0.0,1.0
Richaun Holmes,888.0,250.0,1.0,1.0
Victor Oladipo,630.0,164.0,0.0,0.0
Paul Millsap,889.0,398.0,1.0,1.0
Dorian Finney-Smith,64.0,27.0,0.0,0.0
Tyler Ennis,72.0,251.0,1.0,1.0
Devin Booker,216.0,189.0,1.0,1.0
Justise Winslow,887.0,228.0,0.0,1.0
Jeff Teague,686.0,113.0,0.0,0.0
Jimmy Butler,779.0,130.0,0.0,1.0
J.J. Barea,136.0,462.0,0.0,1.0
Mike Conley,182.0,61.0,1.0,0.0
Wesley Johnson,887.0,460.0,0.0,0.0
Wesley Johnson,715.0,252.0,1.0,0.0
Jerami Grant,900.0,22.0,0.0,0.0
D'Angelo Russell,813.0,188.0,1.0,1.0
Tim Hardaway Jr.,719.0,431.0,0.0,1.0
Tj Warren,94.0,169.0,1.0,0.0
Stephen Curry,290.0,241.0,0.0,1.0
Kawhi Leonard,89.0,259.0,1.0,0.0
Nene Hilario,64.0,419.0,0.0,0.0
Demar Derozan,642.0,346.0,1.0,0.0
Domantas Sabonis,657.0,411.0,0.0,0.0
Wayne Ellington,676.0,382.0,0.0,0.0
Marc Gasol,185.0,391.0,1.0,0.0
Anthony Davis,138.0,318.0,0.0,0.0
Justin Hamilton,64.0,260.0,1.0,1.0
Nikola Jokic,190.0,223.0,0.0,0.0
Ricky Rubio,132.0,95.0,0.0,0.0
Malcolm Brogdon,295.0,228.0,0.0,0.0
Goran Dragic,706.0,282.0,0.0,1.0
Jeff Green,833.0,324.0,0.0,0.0
Cj Mccollum,64.0,259.0,0.0,1.0
Cj Mccollum,666.0,369.0,0.0,0.0
Solomon Hill,620.0,236.0,1.0,0.0
Tim Hardaway Jr.,745.0,460.0,1.0,0.0
Wesley Matthews,682.0,131.0,0.0,0.0
Tyson Chandler,887.0,231.0,0.0,1.0
Ben Mclemore,108.0,478.0,1.0,0.0
Dario Saric,842.0,393.0,0.0,0.0
Serge Ibaka,64.0,172.0,1.0,1.0
Bojan Bogdanovic,256.0,82.0,0.0,0.0
Juancho Hernangomez,62.0,270.0,1.0,1.0
Blake Griffin,79.0,280.0,1.0,0.0
Stephen Curry,133.0,405.0,0.0,0.0
Hassan Whiteside,881.0,259.0,1.0,0.0
Paul George,661.0,392.0,0.0,0.0
Patrick Patterson,50.0,15.0,0.0,0.0
Bojan Bogdanovic,886.0,256.0,0.0,0.0
Trey Lyles,882.0,269.0,1.0,1.0
Eric Gordon,241.0,418.0,0.0,0.0
Steven Adams,52.0,229.0,0.0,1.0
Dragan Bender,156.0,496.0,0.0,0.0
Tony Allen,58.0,246.0,0.0,1.0
Markieff Morris,873.0,493.0,0.0,0.0
Shelvin Mack,765.0,249.0,0.0,1.0
Nikola Mirotic,755.0,454.0,0.0,1.0
Sasha Vujacic,681.0,393.0,0.0,0.0
Danilo Gallinari,832.0,236.0,1.0,1.0
Robin Lopez,133.0,421.0,0.0,0.0
Randy Foye,699.0,416.0,1.0,0.0
Terrence Ross,671.0,138.0,0.0,0.0
Demarre Carroll,890.0,257.0,0.0,1.0
Matt Barnes,622.0,236.0,0.0,0.0
Adreian Payne,295.0,225.0,0.0,0.0
Nicolas Brussino,666.0,236.0,0.0,1.0
Taurean Prince,890.0,241.0,1.0,1.0
Manu Ginobili,112.0,7.0,0.0,1.0
Demarcus Cousins,166.0,74.0,0.0,0.0
Demarre Carroll,822.0,478.0,0.0,1.0
Serge Ibaka,190.0,49.0,1.0,0.0
Mike Muscala,53.0,262.0,1.0,0.0
Robert Covington,715.0,413.0,0.0,0.0
Jeff Green,895.0,233.0,1.0,1.0
Skal Labissiere,888.0,250.0,1.0,1.0
Troy Daniels,98.0,249.0,0.0,0.0
Russell Westbrook,172.0,107.0,0.0,0.0
Victor Oladipo,804.0,238.0,0.0,0.0
Julius Randle,50.0,244.0,1.0,0.0
Tyler Ennis,72.0,424.0,0.0,0.0
Omri Casspi,711.0,82.0,1.0,0.0
Malcolm Delaney,315.0,234.0,1.0,0.0
Thon Maker,888.0,250.0,1.0,1.0
Dwight Powell,156.0,378.0,0.0,0.0
Devin Booker,899.0,17.0,0.0,1.0
Jrue Holiday,72.0,295.0,1.0,1.0
Karl-Anthony Towns,288.0,373.0,0.0,0.0
Kawhi Leonard,27.0,390.0,1.0,1.0
Bradley Beal,887.0,254.0,0.0,0.0
Damian Lillard,79.0,216.0,0.0,1.0
Tyler Johnson,871.0,249.0,0.0,0.0
Malcolm Brogdon,778.0,40.0,0.0,1.0
Marcin Gortat,64.0,231.0,1.0,1.0
Marc Gasol,735.0,128.0,1.0,1.0
Brook Lopez,51.0,254.0,1.0,0.0
Markieff Morris,637.0,225.0,0.0,0.0
Malcolm Brogdon,888.0,250.0,1.0,1.0
Demar Derozan,817.0,184.0,0.0,1.0
Domantas Sabonis,54.0,213.0,0.0,1.0
George Hill,123.0,256.0,1.0,1.0
Giannis Antetokounmpo,50.0,230.0,1.0,1.0
Evan Turner,881.0,223.0,0.0,0.0
Cj Watson,686.0,99.0,0.0,0.0
Buddy Hield,725.0,177.0,1.0,0.0
Demarcus Cousins,627.0,251.0,0.0,1.0
Jusuf Nurkic,102.0,131.0,1.0,0.0
Tony Parker,116.0,81.0,1.0,0.0
Bradley Beal,689.0,400.0,0.0,0.0
Darren Collison,915.0,17.0,0.0,1.0
Klay Thompson,848.0,370.0,1.0,0.0
Matthew Dellavedova,259.0,79.0,1.0,1.0
Anthony Davis,54.0,209.0,0.0,1.0
Shaun Livingston,64.0,411.0,1.0,1.0
Jeff Teague,269.0,365.0,1.0,1.0
Jordan Clarkson,162.0,472.0,1.0,1.0
Zach Lavine,696.0,79.0,1.0,0.0
Demar Derozan,148.0,337.0,0.0,0.0
Zach Randolph,904.0,76.0,0.0,0.0
Ivica Zubac,54.0,269.0,1.0,0.0
Matthew Dellavedova,216.0,25.0,0.0,1.0
Kyle Lowry,773.0,297.0,0.0,1.0
Wayne Ellington,269.0,121.0,0.0,0.0
Thaddeus Young,50.0,274.0,0.0,0.0
Julius Randle,878.0,249.0,0.0,1.0
Kevin Durant,890.0,239.0,1.0,0.0
Goran Dragic,878.0,274.0,1.0,1.0
Marc Gasol,249.0,84.0,0.0,0.0
Jj Redick,84.0,436.0,0.0,0.0
Kyle Lowry,251.0,401.0,0.0,0.0
Patrick Patterson,83.0,240.0,0.0,0.0
Tony Parker,72.0,287.0,1.0,1.0
Robert Covington,890.0,260.0,1.0,1.0
Nikola Jokic,881.0,249.0,1.0,1.0
Jj Redick,729.0,389.0,0.0,1.0
Dario Saric,888.0,250.0,1.0,1.0
Kristaps Porzingis,769.0,177.0,0.0,1.0
Tony Snell,54.0,244.0,1.0,1.0
Shabazz Muhammad,873.0,259.0,1.0,0.0
Aaron Brooks,635.0,202.0,0.0,1.0
Matthew Dellavedova,41.0,12.0,0.0,1.0
Steven Adams,53.0,260.0,1.0,0.0
Brook Lopez,171.0,342.0,0.0,0.0
Monta Ellis,740.0,174.0,0.0,0.0
Deron Williams,216.0,360.0,0.0,0.0
Leandro Barbosa,221.0,46.0,0.0,0.0
Demarcus Cousins,300.0,243.0,1.0,1.0
Tim Frazier,642.0,215.0,0.0,0.0
Terrence Jones,69.0,184.0,0.0,1.0
Danilo Gallinari,259.0,398.0,0.0,0.0
Austin Rivers,873.0,9.0,0.0,0.0
Justin Holiday,882.0,257.0,1.0,0.0
Paul Millsap,82.0,326.0,1.0,0.0
Cory Joseph,889.0,230.0,1.0,0.0
Demar Derozan,205.0,151.0,1.0,0.0
Robin Lopez,729.0,179.0,0.0,0.0
Jusuf Nurkic,873.0,246.0,1.0,0.0
Shabazz Muhammad,58.0,225.0,0.0,1.0
Tarik Black,888.0,250.0,1.0,1.0
Wilson Chandler,878.0,222.0,1.0,1.0
Malcolm Brogdon,293.0,346.0,1.0,1.0
Andrew Bogut,882.0,270.0,0.0,1.0
Isaiah Thomas,288.0,176.0,0.0,0.0
Marcus Smart,92.0,272.0,0.0,0.0
Derrick Favors,851.0,264.0,1.0,0.0
Otto Porter Jr.,876.0,482.0,1.0,0.0
Kyle Anderson,895.0,477.0,0.0,1.0
Goran Dragic,890.0,257.0,0.0,1.0
Gordon Hayward,229.0,61.0,1.0,1.0
Brandon Knight,827.0,477.0,1.0,1.0
Wilson Chandler,279.0,405.0,0.0,1.0
Devin Booker,640.0,205.0,1.0,0.0
James Harden,642.0,313.0,1.0,1.0
D'Angelo Russell,638.0,157.0,0.0,0.0
Larry Nance Jr.,920.0,99.0,1.0,1.0
Otto Porter Jr.,146.0,403.0,1.0,0.0
Nene Hilario,58.0,256.0,1.0,1.0
Wesley Matthews,686.0,413.0,0.0,0.0
Michael Carter-Williams,873.0,256.0,1.0,1.0
Maurice Ndour,671.0,125.0,1.0,0.0
Dante Exum,647.0,264.0,1.0,0.0
Jordan Clarkson,866.0,22.0,0.0,0.0
Jusuf Nurkic,77.0,203.0,0.0,1.0
Pau Gasol,871.0,250.0,1.0,1.0
Devin Booker,283.0,329.0,0.0,1.0
Eric Bledsoe,882.0,252.0,1.0,1.0
Javale Mcgee,888.0,250.0,1.0,1.0
Stephen Curry,630.0,269.0,0.0,1.0
Carmelo Anthony,833.0,200.0,1.0,1.0
Victor Oladipo,58.0,256.0,1.0,0.0
Victor Oladipo,735.0,451.0,0.0,0.0
Patty Mills,647.0,310.0,0.0,0.0
Nene Hilario,52.0,250.0,1.0,1.0
Mike Conley,642.0,192.0,0.0,1.0
Dion Waiters,878.0,272.0,1.0,1.0
Austin Rivers,216.0,344.0,0.0,0.0
Denzel Valentine,807.0,23.0,1.0,0.0
Seth Curry,868.0,226.0,0.0,1.0
Chris Paul,887.0,233.0,1.0,1.0
Zach Lavine,67.0,10.0,1.0,0.0
Will Barton,878.0,482.0,0.0,0.0
Brook Lopez,881.0,220.0,0.0,0.0
Kristaps Porzingis,714.0,233.0,0.0,0.0
Thabo Sefolosha,82.0,63.0,0.0,0.0
Jason Terry,769.0,470.0,0.0,0.0
Tony Allen,890.0,246.0,0.0,0.0
Trevor Booker,866.0,199.0,0.0,1.0
Bismack Biyombo,59.0,319.0,0.0,1.0
Kyle Lowry,882.0,269.0,1.0,1.0
Ersan Ilyasova,54.0,426.0,1.0,1.0
Justin Holiday,162.0,28.0,0.0,0.0
Bryn Forbes,657.0,372.0,0.0,0.0
Patrick Mccaw,647.0,156.0,0.0,0.0
Emmanuel Mudiay,886.0,241.0,0.0,0.0
Nikola Vucevic,873.0,250.0,1.0,1.0
Eric Bledsoe,789.0,100.0,0.0,0.0
Sean Kilpatrick,89.0,282.0,1.0,1.0
Marc Gasol,868.0,250.0,0.0,1.0
Cj Mccollum,46.0,251.0,1.0,1.0
Jordan Clarkson,881.0,245.0,1.0,0.0
Russell Westbrook,53.0,239.0,1.0,1.0
Jusuf Nurkic,890.0,252.0,1.0,1.0
Jordan Clarkson,243.0,85.0,0.0,0.0
P.J. Tucker,881.0,240.0,1.0,1.0
Marcin Gortat,873.0,225.0,1.0,1.0
Robert Covington,202.0,31.0,1.0,0.0
Evan Turner,172.0,256.0,1.0,0.0
Andre Roberson,878.0,238.0,1.0,1.0
Cj Mccollum,195.0,244.0,1.0,0.0
Dwight Powell,52.0,250.0,1.0,1.0
Maurice Harkless,59.0,226.0,1.0,1.0
Davis Bertans,657.0,393.0,0.0,1.0
Bojan Bogdanovic,58.0,278.0,1.0,0.0
Dante Cunningham,66.0,270.0,0.0,0.0
Joe Ingles,50.0,221.0,0.0,1.0
Dario Saric,888.0,250.0,1.0,1.0
Maurice Harkless,661.0,148.0,0.0,0.0
Sergio Rodriguez,300.0,120.0,0.0,0.0
Terry Rozier,241.0,426.0,1.0,0.0
Cameron Payne,190.0,248.0,1.0,0.0
Jj Redick,884.0,482.0,1.0,1.0
Jabari Parker,730.0,118.0,0.0,0.0
Domantas Sabonis,630.0,261.0,0.0,0.0
James Harden,79.0,254.0,0.0,1.0
Boris Diaw,58.0,264.0,1.0,1.0
Thabo Sefolosha,116.0,264.0,0.0,0.0
Kevin Durant,627.0,252.0,0.0,0.0
Kawhi Leonard,59.0,113.0,0.0,0.0
Jordan Crawford,745.0,110.0,0.0,0.0
Leandro Barbosa,67.0,238.0,1.0,1.0
Brandon Jennings,853.0,154.0,0.0,1.0
Marquese Chriss,887.0,482.0,0.0,1.0
Kyle Korver,650.0,248.0,0.0,1.0
Lavoy Allen,887.0,225.0,1.0,0.0
Andrew Wiggins,236.0,143.0,0.0,0.0
Rodney Hood,269.0,372.0,1.0,0.0
Alex Poythress,895.0,495.0,0.0,0.0
Timothe Luwawu-Cabarrot,259.0,387.0,0.0,1.0
Timofey Mozgov,888.0,250.0,1.0,1.0
Alec Burks,676.0,131.0,1.0,0.0
Bradley Beal,753.0,38.0,0.0,1.0
Joe Young,261.0,95.0,0.0,0.0
Dewayne Dedmon,851.0,184.0,0.0,1.0
Steven Adams,52.0,250.0,1.0,1.0
Devin Booker,53.0,357.0,0.0,0.0
Nikola Jokic,824.0,274.0,0.0,1.0
Goran Dragic,714.0,51.0,0.0,0.0
Ryan Anderson,157.0,488.0,0.0,0.0
Andrew Harrison,64.0,218.0,0.0,1.0
Nick Young,287.0,317.0,0.0,0.0
Austin Rivers,53.0,249.0,1.0,1.0
Dennis Schroder,288.0,341.0,0.0,1.0
Joe Harris,256.0,94.0,0.0,0.0
Vince Carter,725.0,153.0,0.0,0.0
Draymond Green,274.0,108.0,0.0,0.0
Damian Lillard,889.0,251.0,1.0,1.0
Lou Williams,195.0,130.0,1.0,0.0
Kyle O'Quinn,873.0,241.0,1.0,0.0
Jeff Withey,890.0,280.0,0.0,0.0
Brandon Ingram,123.0,249.0,0.0,1.0
Stephen Curry,156.0,125.0,0.0,0.0
Ben Mclemore,437.0,406.0,0.0,0.0
Hassan Whiteside,82.0,280.0,0.0,1.0
Joe Harris,62.0,413.0,0.0,0.0
Amir Johnson,58.0,264.0,1.0,1.0
Trevor Ariza,72.0,278.0,1.0,0.0
Kristaps Porzingis,848.0,395.0,0.0,1.0
Gary Harris,52.0,250.0,1.0,1.0
Andrew Harrison,53.0,239.0,1.0,1.0
Josh Richardson,887.0,199.0,0.0,1.0
Brandon Jennings,79.0,125.0,1.0,0.0
Garrett Temple,882.0,248.0,0.0,0.0
Steven Adams,887.0,252.0,1.0,0.0
Danilo Gallinari,58.0,272.0,0.0,1.0
Giannis Antetokounmpo,190.0,467.0,1.0,1.0
Justin Holiday,642.0,184.0,0.0,0.0
Zach Lavine,62.0,56.0,1.0,0.0
Julius Randle,890.0,241.0,1.0,1.0
Marcin Gortat,58.0,198.0,0.0,1.0
Kenneth Faried,819.0,241.0,1.0,1.0
Wesley Johnson,888.0,250.0,1.0,1.0
Terrence Jones,67.0,233.0,1.0,1.0
James Harden,107.0,251.0,0.0,0.0
Carmelo Anthony,701.0,79.0,0.0,0.0
Joe Ingles,27.0,23.0,0.0,0.0
Brandon Jennings,58.0,260.0,1.0,1.0
Tj Warren,53.0,246.0,1.0,1.0
Dario Saric,53.0,233.0,1.0,1.0
John Wall,630.0,226.0,1.0,0.0
Jeff Teague,779.0,104.0,1.0,1.0
Kawhi Leonard,627.0,293.0,0.0,0.0
Rudy Gobert,62.0,248.0,1.0,0.0
Toney Douglas,799.0,261.0,1.0,1.0
Gary Harris,69.0,251.0,0.0,1.0
Shabazz Napier,200.0,212.0,0.0,0.0
Patrick Beverley,62.0,269.0,1.0,1.0
Lou Williams,645.0,148.0,1.0,0.0
Leandro Barbosa,205.0,77.0,0.0,0.0
Kent Bazemore,642.0,248.0,0.0,0.0
David Nwaba,883.0,247.0,1.0,0.0
Nik Stauskas,182.0,454.0,0.0,1.0
Rajon Rondo,890.0,20.0,0.0,1.0
Ricky Rubio,824.0,475.0,0.0,0.0
Kelly Olynyk,888.0,250.0,1.0,1.0
Aaron Gordon,888.0,250.0,1.0,1.0
Jimmy Butler,211.0,208.0,0.0,0.0
Marreese Speights,41.0,85.0,0.0,1.0
Jae Crowder,878.0,244.0,0.0,1.0
Cheick Diallo,136.0,90.0,1.0,1.0
Mike Conley,804.0,421.0,1.0,0.0
Jahlil Okafor,58.0,290.0,0.0,0.0
Sergio Rodriguez,279.0,172.0,0.0,0.0
James Harden,642.0,181.0,0.0,0.0
Kevon Looney,882.0,259.0,1.0,1.0
Wayne Ellington,67.0,270.0,0.0,1.0
Demarcus Cousins,215.0,161.0,0.0,1.0
Karl-Anthony Towns,888.0,250.0,1.0,1.0
Allen Crabbe,58.0,238.0,1.0,1.0
Darren Collison,881.0,17.0,1.0,0.0
Aaron Gordon,888.0,250.0,1.0,0.0
Lou Williams,666.0,91.0,1.0,0.0
Larry Nance Jr.,857.0,224.0,1.0,0.0
Brook Lopez,881.0,228.0,0.0,1.0
Evan Fournier,655.0,135.0,0.0,1.0
Hassan Whiteside,107.0,265.0,0.0,0.0
Malcolm Delaney,205.0,194.0,0.0,1.0
Willie Cauley-Stein,878.0,266.0,0.0,1.0
D'Angelo Russell,837.0,383.0,0.0,0.0
Brandon Ingram,207.0,250.0,0.0,1.0
Thaddeus Young,54.0,236.0,0.0,1.0
Bojan Bogdanovic,889.0,485.0,1.0,0.0
Joe Ingles,661.0,168.0,1.0,1.0
Mike Scott,303.0,287.0,0.0,0.0
Al Horford,52.0,250.0,1.0,1.0
Terrence Jones,657.0,100.0,0.0,0.0
Nerlens Noel,898.0,253.0,0.0,0.0
Eric Gordon,715.0,66.0,0.0,0.0
Kawhi Leonard,259.0,373.0,1.0,1.0
Norman Powell,884.0,475.0,1.0,0.0
Solomon Hill,53.0,234.0,1.0,0.0
Terrence Ross,69.0,483.0,1.0,0.0
Semaj Christon,889.0,488.0,0.0,0.0
Terrence Ross,215.0,121.0,0.0,0.0
Clint Capela,873.0,233.0,1.0,1.0
Spencer Dinwiddie,740.0,235.0,0.0,1.0
Carmelo Anthony,863.0,383.0,0.0,1.0
Klay Thompson,269.0,131.0,0.0,0.0
Khris Middleton,856.0,202.0,1.0,0.0
Danny Green,686.0,81.0,0.0,0.0
Steven Adams,51.0,243.0,0.0,0.0
Jeff Teague,126.0,172.0,0.0,1.0
Darren Collison,22.0,472.0,0.0,1.0
Rudy Gobert,888.0,250.0,1.0,1.0
Andre Roberson,58.0,223.0,1.0,0.0
Dario Saric,635.0,235.0,0.0,0.0
Devin Harris,102.0,233.0,0.0,0.0
Karl-Anthony Towns,888.0,250.0,1.0,1.0
Brandon Knight,62.0,233.0,1.0,0.0
Dwight Powell,161.0,413.0,0.0,1.0
Kristaps Porzingis,298.0,210.0,1.0,0.0
Devin Booker,82.0,10.0,0.0,0.0
D'Angelo Russell,293.0,241.0,0.0,0.0
Dwight Howard,52.0,250.0,1.0,1.0
Kyle Lowry,67.0,277.0,0.0,1.0
Gorgui Dieng,52.0,250.0,1.0,1.0
